Unclimbable land columns of a capital's +-250 envelope: a land
neighbour more than one node up, which is more than the jump height.

== window +-128 ==
capital        seed                 tree         land   unclimb  permille   max
highcourt      8675309              before      52637      4385        83     4
highcourt      8675309              after       52637       320         6     4
highcourt      531802985935182545   before      52637      3779        71     4
highcourt      531802985935182545   after       52637       233         4     4
dur_brannoc    8675309              before      66049      7577       114     8
dur_brannoc    8675309              after       66049      4390        66     7
dur_brannoc    531802985935182545   before      66049      8098       122     8
dur_brannoc    531802985935182545   after       66049      5386        81     7

== window +-250 ==
capital        seed                 tree         land   unclimb  permille   max
highcourt      8675309              before     205580     23353       113     4
highcourt      8675309              after      205580      1386         6     4
highcourt      531802985935182545   before     205580     22466       109     4
highcourt      531802985935182545   after      205580      1325         6     4
dur_brannoc    8675309              before     251001     20044        79     8
dur_brannoc    8675309              after      251001      6877        27     7
dur_brannoc    531802985935182545   before     251001     19103        76     8
dur_brannoc    531802985935182545   after      251001      7658        30     7

