metric	value
mode	full
sample_count	292
aggregate_count	28
ellipse_count	264
targeted_count	17
transport_sha_calls	302
suite_cpu_seconds	0.029967
ordinary_cold_cache_hits	2
ordinary_cold_cache_misses	6
ordinary_cold_cpu_seconds	0.000229
ordinary_cold_raw_evaluations	1
ordinary_cold_sha_calls	6
ordinary_warm_added_cache_hits	128
ordinary_warm_added_cache_misses	0
ordinary_warm_added_sha_calls	0
ordinary_warm_cpu_seconds	0.000158
triple_cache_hits	0
triple_cache_misses	32
triple_contributions	3
triple_replacement_evaluations	3
triple_sha_calls	32
