# Feature corpus only: exactly 15 bounded mapchunk cases; native preservation
# uses the separate fixed native-witness-corpus.tsv union.
# id	x	surface-or-y	z
human_start	0	surface	-2550
human_capital	0	surface	-1500
goldmead_inland_housing	0	surface	-2050
elandor_front_boundary	0	surface	-250
broken_causeway_battleground	-750	surface	0
goldmead_highcourt_road	0	surface	-1900
whitebridge_crossing	-400	surface	-1500
lethariel_crownlake	1800	surface	-1500
copperfell_shelf	-2600	surface	-2200
wyrmglass_channel	-2675	surface	0
stormscale_channel	2675	surface	0
wyrmglass_island	-3260	surface	-40
stormscale_island	3260	surface	-40
native_deep_slice	-2459	-240	-2283
deep_cross_border_resource	-1691	-842	191
