kind	seed	capital	step	land	climb0	climb1	climb2	climb3	climb4	climb5plus	max	unclimbable	per_mille	ceiling
capital_walk	531802985935182545	capital_dwarf	4	66049	38924	22009	3256	1833	27	0	4	5116	77	90
capital_walk	531802985935182545	capital_human	2	52637	43679	8881	76	1	0	0	3	77	1	10
capital_walk	531802985935182545	capital_elf	3	51134	42164	8910	46	7	1	6	8	60	1	10
capital_walk	531802985935182545	capital_undead	3	66049	55401	10613	35	0	0	0	2	35	0	10
capital_walk	531802985935182545	capital_orc	4	66049	55654	10395	0	0	0	0	1	0	0	10
capital_walk	531802985935182545	capital_troll	3	46395	33793	9027	1836	1705	11	23	8	3575	77	85
capital_walk	8675309	capital_dwarf	4	66049	41354	20622	2804	1263	6	0	4	4073	61	75
capital_walk	8675309	capital_human	2	52637	43585	8828	221	2	1	0	4	224	4	10
capital_walk	8675309	capital_elf	3	51134	40100	10763	171	47	3	50	16	271	5	15
capital_walk	8675309	capital_undead	3	66049	52200	13785	64	0	0	0	2	64	0	10
capital_walk	8675309	capital_orc	4	66049	54490	11548	11	0	0	0	2	11	0	10
capital_walk	8675309	capital_troll	3	46395	34052	7927	2070	2283	18	45	10	4416	95	105
capital_walk_digest	12	eed0e5b6433e211ea722f1b51f665a24e33df02807b88fbb4def67254644cd75
