anchor 1800 66 1500
         56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84
   122  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   123  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   124  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   125  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   126  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   127  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   128  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   129  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   130  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   131  66  66  66  66  66  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   132  66  66  66  66  66  66  66  66  66  66  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   133  63  66  66  66  66  66  66  66  66  66  66  66  66  66  66  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   134  60  63  63  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~ 55~
   135  57  60  60  63  63  63  63  63  63  63  66  66  66  66  66  66  66  66  66  66  66  66  66  66  66  55~ 55~ 55~ 55~
   136  54  57  57  60  60  60  60  60  60  60  63  63  63  63  63  66  66  66  66  66  66  66  66  66  66  66  66  66  66 
   137  51  54  54  57  57  57  57  57  57  57  60  60  60  60  60  63  63  63  66  66  66  66  66  66  66  66  66  66  66 
   138  48  51  51  54  54  54  54  54  54  54  57  57  57  57  57  60  60  60  63  63  63  63  63  63  63  63  63  66  66 
   139  45  48  48  51  51  51  51  51  51  54  54  54  54  54  54  57  57  57  60  60  60  60  60  60  60  60  60  66  66 
   140  42  45  45  48  48  48  48  48  48  51  51  51  51  51  51  54  54  54  57  57  57  57  57  57  57  57  57  63  63 
   141  39  42  42  45  45  45  45  45  45  48  48  48  48  48  48  51  51  51  54  54  54  54  54  54  54  54  54  60  60 
   142  36  39  39  42  42  42  42  42  42  45  45  45  45  45  45  48  48  48  51  51  51  51  51  51  51  51  51  57  57 
   143  36  36  36  39  39  39  39  39  39  42  42  42  42  42  42  45  45  45  48  48  48  48  48  48  48  48  51  54  54 
   144  36  36  36  36  36  36  36  36  36  39  39  39  39  39  39  42  42  42  45  45  45  45  45  45  45  45  48  51  51 
   145  36  36  36  36  36  36  36  36  36  36  37  37  37  38  39  39  39  39  42  42  42  42  42  42  42  42  45  48  48 
   146  36  36  36  36  36  36  36  36  36  36  37  37  38  38  39  39  39  39  39  39  40  40  40  40  40  41  42  45  45 
   147  36  36  36  36  36  36  36  36  36  37  37  37  38  39  39  39  39  39  39  40  40  40  40  41  41  41  42  42  42 
   148  36  36  36  36  36  36  36  36  36  37  37  37  38  39  39  39  39  39  40  40  40  40  41  41  42  42  42  42  42 
   149  36  36  36  36  36  36  36  36  36  37  37  38  38  39  39  39  39  40  40  40  40  41  41  42  42  42  42  43  43 
   150  36  36  36  36  36  36  36  36  36  37  37  38  39  39  39  39  40  40  40  40  41  41  42  42  42  43  43  43  43 
