plot	reference_x	reference_z	reference_y	perimeter_min	perimeter_max	perimeter_fall	perimeter_rise	footprint_min	footprint_max	footprint_fall	footprint_rise	submerged	submerged_margin	reference_wet	clear_to	columns
bazaar_butcher	-72	1572	96	94	101	2	5	94	99	2	3	0	0	false	9	418
bazaar_tannery	-116	1572	98	94	102	4	4	94	102	4	4	0	0	false	9	437
bazaar_brewhouse	-160	1572	96	94	98	2	2	94	98	2	2	0	0	false	9	504
bazaar_armourer	-72	1616	95	90	102	5	7	90	101	5	6	0	0	false	9	552
bazaar_smithy	-116	1616	98	98	102	0	4	98	102	0	4	0	0	false	9	504
bazaar_store	-160	1616	98	94	102	4	4	94	101	4	3	0	0	false	13	437
bazaar_wain_yard	-68	1660	90	86	91	4	1	86	90	4	0	0	0	false	9	437
bazaar_carver	-116	1660	95	93	98	2	3	93	98	2	3	0	0	false	9	323
bazaar_house	-160	1660	94	94	94	0	0	94	94	0	0	0	0	false	9	255
bazaar_stock_pen	-208	1604	98	94	98	4	0	94	98	4	0	0	0	false	9	529
bazaar_drying_floor	-104	1704	86	83	88	3	2	83	87	3	1	0	0	false	9	529
bazaar_spoil_heap	-200	1696	94	94	94	0	0	94	94	0	0	0	0	false	9	289
bazaar_fire_court	-94	1660	90	90	94	0	4	90	93	0	3	0	0	false	9	121
war_barracks	-76	1428	99	96	102	3	3	96	102	3	3	0	0	false	13	525
war_arena	-72	1384	98	94	102	4	4	94	102	4	4	0	0	false	9	729
war_armoury	-72	1340	93	87	94	6	1	87	94	6	1	0	0	false	9	552
war_beast_pen	-116	1428	95	90	102	5	7	90	101	5	6	0	0	false	11	525
war_drill_yard	-112	1388	97	94	98	3	1	94	98	3	1	0	0	false	14	441
war_quartermaster	-116	1340	90	86	90	4	0	86	90	4	0	0	0	false	12	399
war_wain_shed	-160	1432	98	94	98	4	0	94	98	4	0	0	0	false	9	437
war_chief_house	-204	1356	95	92	98	3	3	92	98	3	3	0	0	false	9	255
war_watch_tower	-160	1332	94	94	97	0	3	94	97	0	3	0	0	false	14	225
war_muster_field	-104	1292	86	86	86	0	0	86	86	0	0	0	0	false	9	529
war_remount_paddock	-212	1396	100	95	102	5	2	95	102	5	2	0	0	false	9	529
war_wood_yard	-204	1300	94	94	97	0	3	94	97	0	3	0	0	false	9	289
war_guard_fire	-168	1406	94	94	98	0	4	94	97	0	3	0	0	false	9	121
bone_spirit_hall	72	1428	98	96	98	2	0	96	98	2	0	0	0	false	22	475
bone_totem_court	116	1432	98	94	98	4	0	94	98	4	0	0	0	false	9	625
bone_barrow	160	1428	94	94	98	0	4	94	98	0	4	0	0	false	9	729
bone_quarry	68	1384	94	90	98	4	4	90	98	4	4	0	0	false	9	729
bone_reader_hall	116	1384	91	90	94	1	3	90	94	1	3	0	0	false	13	437
bone_herb_house	160	1384	97	94	98	3	1	94	98	3	1	0	0	false	9	399
bone_store	72	1336	94	90	94	4	0	90	94	4	0	0	0	false	13	357
bone_shaman_house	116	1336	97	93	98	4	1	93	98	4	1	0	0	false	9	255
bone_ash_court	160	1340	91	90	94	1	3	90	94	1	3	0	0	false	9	225
bone_ancestor_field	212	1396	90	90	94	0	4	90	93	0	3	0	0	false	9	529
bone_scrub_garden	104	1292	88	86	90	2	2	86	90	2	2	0	0	false	9	529
bone_spoil_shelf	200	1296	87	82	90	5	3	82	90	5	3	0	0	false	9	289
bone_candle_court	94	1340	90	90	93	0	3	90	91	0	1	0	0	false	9	121
warren_clan_house	72	1572	98	96	99	2	1	96	98	2	0	0	0	false	12	437
warren_round_lodge	72	1616	95	94	98	1	3	94	98	1	3	0	0	false	9	225
warren_cook_court	72	1660	94	90	97	4	3	90	95	4	1	0	0	false	9	529
warren_house_spear	116	1552	98	94	99	4	1	94	98	4	0	0	0	false	9	255
warren_house_tusk	116	1616	96	93	98	3	2	93	98	3	2	0	0	false	9	225
warren_house_bone	116	1660	90	86	90	4	0	86	90	4	0	0	0	false	9	323
warren_weaver	160	1572	94	94	98	0	4	94	97	0	3	0	0	false	9	437
warren_store	160	1616	96	94	98	2	2	94	98	2	2	0	0	false	13	357
warren_story_fire	160	1660	90	86	94	4	4	86	93	4	3	0	0	false	9	441
warren_clan_ground	104	1708	82	78	86	4	4	78	86	4	4	0	0	false	9	529
warren_dry_garden	208	1604	98	94	101	4	3	94	99	4	1	0	0	false	9	529
warren_fuel_yard	200	1700	91	90	94	1	3	90	94	1	3	0	0	false	9	289
warren_green	160	1594	98	97	98	1	0	97	98	1	0	0	0	false	9	121
