plot	reference_x	reference_z	reference_y	perimeter_min	perimeter_max	perimeter_fall	perimeter_rise	footprint_min	footprint_max	footprint_fall	footprint_rise	submerged	submerged_margin	reference_wet	clear_to	columns
bazaar_butcher	72	1428	122	120	128	2	6	120	127	2	5	0	0	false	8	418
bazaar_tannery	116	1428	126	122	129	4	3	122	128	4	2	0	0	false	9	437
bazaar_brewhouse	160	1428	123	119	124	4	1	119	124	4	1	0	0	false	8	504
bazaar_armourer	72	1384	128	124	132	4	4	124	132	4	4	0	0	false	8	552
bazaar_smithy	116	1384	128	124	128	4	0	124	128	4	0	0	0	false	8	504
bazaar_store	160	1388	119	116	124	3	5	116	124	3	5	0	0	false	13	437
bazaar_wain_yard	72	1340	128	125	129	3	1	124	128	4	0	0	0	false	9	437
bazaar_carver	116	1336	128	124	128	4	0	124	128	4	0	0	0	false	8	323
bazaar_house	160	1340	124	124	124	0	0	124	124	0	0	0	0	false	8	255
bazaar_stock_pen	208	1396	112	112	117	0	5	112	116	0	4	0	0	false	8	529
bazaar_drying_floor	104	1292	129	126	132	3	3	126	132	3	3	0	0	false	8	529
bazaar_spoil_heap	200	1296	113	112	116	1	3	112	116	1	3	0	0	false	8	289
bazaar_fire_court	94	1340	128	128	130	0	2	128	129	0	1	0	0	false	8	121
war_barracks	72	1572	132	128	132	4	0	128	132	4	0	0	0	false	13	525
war_arena	72	1616	128	124	128	4	0	124	128	4	0	0	0	false	8	729
war_armoury	72	1660	123	120	124	3	1	120	124	3	1	0	0	false	8	552
war_beast_pen	116	1572	128	128	128	0	0	128	128	0	0	0	0	false	11	525
war_drill_yard	116	1616	127	123	128	4	1	123	128	4	1	0	0	false	14	441
war_quartermaster	116	1660	124	120	124	4	0	120	124	4	0	0	0	false	12	399
war_wain_shed	160	1572	123	120	124	3	1	120	124	3	1	0	0	false	9	437
war_chief_house	160	1616	121	118	124	3	3	118	124	3	3	0	0	false	8	255
war_watch_tower	160	1660	116	116	120	0	4	116	119	0	3	0	0	false	14	225
war_muster_field	104	1708	116	112	119	4	3	112	119	4	3	0	0	false	8	529
war_remount_paddock	208	1604	113	112	116	1	3	112	116	1	3	0	0	false	8	529
war_wood_yard	200	1700	108	108	109	0	1	108	108	0	0	0	0	false	8	289
war_guard_fire	160	1594	120	119	121	1	1	119	120	1	0	0	0	false	8	121
bone_spirit_hall	-72	1572	132	129	132	3	0	129	132	3	0	0	0	false	22	475
bone_totem_court	-116	1572	124	120	128	4	4	120	128	4	4	0	0	false	8	625
bone_barrow	-160	1568	116	112	120	4	4	112	119	4	3	0	0	false	8	729
bone_quarry	-72	1616	129	124	132	5	3	124	132	5	3	0	0	false	8	729
bone_reader_hall	-116	1616	120	120	124	0	4	120	123	0	3	0	0	false	13	437
bone_herb_house	-160	1616	119	116	123	3	4	116	122	3	3	0	0	false	8	399
bone_store	-72	1664	120	120	125	0	5	120	124	0	4	0	0	false	13	357
bone_shaman_house	-116	1660	113	112	116	1	3	112	116	1	3	0	0	false	8	255
bone_ash_court	-160	1660	113	113	116	0	3	113	115	0	2	0	0	false	8	225
bone_ancestor_field	-208	1604	111	108	117	3	6	108	116	3	5	0	0	false	8	529
bone_scrub_garden	-104	1708	115	113	116	2	1	113	116	2	1	0	0	false	8	529
bone_spoil_shelf	-200	1700	108	104	111	4	3	104	110	4	2	0	0	false	8	289
bone_candle_court	-94	1660	117	116	121	1	4	116	120	1	3	0	0	false	8	121
warren_clan_house	-72	1428	128	128	128	0	0	128	128	0	0	0	0	false	12	437
warren_round_lodge	-72	1384	125	124	128	1	3	124	128	1	3	0	0	false	9	225
warren_cook_court	-72	1340	125	124	128	1	3	124	128	1	3	0	0	false	8	529
warren_house_spear	-116	1428	128	125	128	3	0	125	128	3	0	0	0	false	8	255
warren_house_tusk	-116	1384	128	127	128	1	0	127	128	1	0	0	0	false	8	225
warren_house_bone	-116	1340	128	125	128	3	0	125	128	3	0	0	0	false	8	323
warren_weaver	-160	1428	122	120	124	2	2	120	124	2	2	0	0	false	9	437
warren_store	-168	1384	121	120	124	1	3	120	124	1	3	0	0	false	13	357
warren_story_fire	-168	1340	112	112	117	0	5	112	116	0	4	0	0	false	8	441
warren_clan_ground	-104	1292	127	122	132	5	5	122	132	5	5	0	0	false	8	529
warren_dry_garden	-208	1396	113	108	117	5	4	108	116	5	3	0	0	false	8	529
warren_fuel_yard	-200	1300	108	108	112	0	4	108	111	0	3	0	0	false	8	289
warren_green	-160	1406	120	119	120	1	0	119	120	1	0	0	0	false	8	121
